survey_start,branch,loopid,qstart,click_count,help_clicks,help_time,qend,qfirst
2016-04-05 02:17:58.784,1,Q7,2016-04-05 02:19:22.592,3,0,0,2016-04-05 02:19:25.702,2016-04-05 02:19:24.305
2016-04-05 02:21:32.133,2,Q7,2016-04-05 02:22:11.923,3,0,0,2016-04-05 02:22:17.723,2016-04-05 02:22:16.529
2016-04-05 02:23:42.095,3,Q7,2016-04-05 02:24:19.488,3,0,0,2016-04-05 02:24:22.073,2016-04-05 02:24:21.044
2016-04-05 04:06:05.030,3,7,2016-04-05 04:08:25.717,3,0,0,2016-04-05 04:08:28.531,2016-04-05 04:08:27.386
2016-04-05 22:37:31.416,3,7,2016-04-05 22:40:23.745,3,0,0,2016-04-05 22:40:28.339,2016-04-05 22:40:26.894
2016-04-06 08:50:07.843,2,7,2016-04-06 08:52:11.071,3,0,0,2016-04-06 08:52:14.596,2016-04-06 08:52:13.438
2016-04-05 02:17:58.784,1,Q8,2016-04-05 02:19:27.474,3,0,0,2016-04-05 02:19:29.963,2016-04-05 02:19:28.988
2016-04-05 02:21:32.133,2,Q8,2016-04-05 02:22:19.545,3,0,0,2016-04-05 02:22:21.792,2016-04-05 02:22:20.575
2016-04-05 02:23:42.095,3,Q8,2016-04-05 02:24:24.086,3,0,0,2016-04-05 02:24:26.808,2016-04-05 02:24:25.843
2016-04-05 04:06:05.030,3,8,2016-04-05 04:08:30.216,3,0,0,2016-04-05 04:08:33.442,2016-04-05 04:08:32.381
2016-04-05 22:37:31.416,3,8,2016-04-05 22:40:29.391,3,0,0,2016-04-05 22:40:33.637,2016-04-05 22:40:32.090
2016-04-06 08:50:07.843,2,8,2016-04-06 08:52:16.239,3,0,0,2016-04-06 08:52:19.657,2016-04-06 08:52:18.485
2016-04-05 02:17:58.784,1,Q9,2016-04-05 02:19:36.626,2,0,0,2016-04-05 02:19:45.306,2016-04-05 02:19:44.443
2016-04-05 02:21:32.133,2,Q9,2016-04-05 02:22:27.318,2,0,0,2016-04-05 02:22:31.647,2016-04-05 02:22:30.930
2016-04-05 02:23:42.095,3,Q9,2016-04-05 02:24:32.185,2,0,0,2016-04-05 02:24:35.388,2016-04-05 02:24:34.765
2016-04-05 04:06:05.030,3,9,2016-04-05 04:08:38.959,2,0,0,2016-04-05 04:08:42.057,2016-04-05 04:08:41.238
2016-04-05 22:37:31.416,3,9,2016-04-05 22:40:56.310,2,0,0,2016-04-05 22:41:02.816,2016-04-05 22:41:02.020
2016-04-06 08:50:07.843,2,9,2016-04-06 08:52:25.072,2,0,0,2016-04-06 08:52:30.532,2016-04-06 08:52:29.952
2016-04-05 02:17:58.784,1,Q10,2016-04-05 02:19:47.120,1,0,0,2016-04-05 02:19:49.852,2016-04-05 02:19:49.851
2016-04-05 02:21:32.133,2,Q10,2016-04-05 02:22:33.423,1,0,0,2016-04-05 02:22:36.102,2016-04-05 02:22:36.101
2016-04-05 02:23:42.095,3,Q10,2016-04-05 02:24:37.201,1,0,0,2016-04-05 02:24:39.622,2016-04-05 02:24:39.622
2016-04-05 04:06:05.030,3,10,2016-04-05 04:08:43.819,1,0,0,2016-04-05 04:08:47.013,2016-04-05 04:08:47.012
2016-04-05 22:37:31.416,3,10,2016-04-05 22:41:04.229,1,0,0,2016-04-05 22:41:06.911,2016-04-05 22:41:06.911
2016-04-06 08:50:07.843,2,10,2016-04-06 08:52:32.248,1,0,0,2016-04-06 08:52:36.256,2016-04-06 08:52:36.255
2016-04-05 02:17:58.784,1,Q11,2016-04-05 02:19:51.570,2,0,0,2016-04-05 02:19:59.768,2016-04-05 02:19:59.055
2016-04-05 02:21:32.133,2,Q11,2016-04-05 02:22:37.896,2,0,0,2016-04-05 02:22:42.326,2016-04-05 02:22:41.762
2016-04-05 02:23:42.095,3,Q11,2016-04-05 02:24:41.385,2,0,0,2016-04-05 02:24:43.565,2016-04-05 02:24:42.977
2016-04-05 04:06:05.030,3,11,2016-04-05 04:08:48.924,2,0,0,2016-04-05 04:08:52.772,2016-04-05 04:08:52.119
2016-04-05 22:37:31.416,3,11,2016-04-05 22:41:08.671,2,0,0,2016-04-05 22:41:14.521,2016-04-05 22:41:13.720
2016-04-06 08:50:07.843,2,11,2016-04-06 08:52:37.907,2,0,0,2016-04-06 08:52:46.600,2016-04-06 08:52:46.009
2016-04-05 02:17:58.784,1,Q12,2016-04-05 02:20:01.655,4,0,0,2016-04-05 02:20:07.211,2016-04-05 02:20:04.796
2016-04-05 02:21:32.133,2,Q12,2016-04-05 02:22:43.902,4,0,0,2016-04-05 02:22:48.292,2016-04-05 02:22:46.086
2016-04-05 02:23:42.095,3,Q12,2016-04-05 02:24:45.183,4,0,0,2016-04-05 02:24:49.020,2016-04-05 02:24:47.155
2016-04-05 04:06:05.030,3,12,2016-04-05 04:08:54.606,4,0,0,2016-04-05 04:08:59.497,2016-04-05 04:08:57.492
2016-04-05 22:37:31.416,3,12,2016-04-05 22:41:15.954,4,0,0,2016-04-05 22:41:24.156,2016-04-05 22:41:22.042
2016-04-06 08:50:07.843,2,12,2016-04-06 08:52:47.966,4,0,0,2016-04-06 08:52:52.174,2016-04-06 08:52:50.141
2016-04-05 02:17:58.784,1,Q13,2016-04-05 02:20:09.290,6,0,0,2016-04-05 02:20:16.615,2016-04-05 02:20:12.914
2016-04-05 02:21:32.133,2,Q13,2016-04-05 02:22:50.105,6,0,0,2016-04-05 02:22:58.238,2016-04-05 02:22:53.268
2016-04-05 02:23:42.095,3,Q13,2016-04-05 02:24:50.742,8,0,0,2016-04-05 02:25:00.077,2016-04-05 02:24:53.937
2016-04-05 04:06:05.030,3,13,2016-04-05 04:09:01.216,6,0,0,2016-04-05 04:09:08.892,2016-04-05 04:09:05.662
2016-04-05 22:37:31.416,3,13,2016-04-05 22:41:25.300,6,0,0,2016-04-05 22:41:36.151,2016-04-05 22:41:30.162
2016-04-06 08:50:07.843,2,13,2016-04-06 08:52:54.093,8,0,0,2016-04-06 08:53:02.164,2016-04-06 08:52:57.318
2016-04-05 02:17:58.784,1,Q14,2016-04-05 02:20:18.396,2,0,0,2016-04-05 02:20:23.324,2016-04-05 02:20:22.614
2016-04-05 02:21:32.133,2,Q14,2016-04-05 02:23:00.073,2,0,0,2016-04-05 02:23:02.990,2016-04-05 02:23:02.398
2016-04-05 02:23:42.095,3,Q14,2016-04-05 02:25:02.135,2,0,0,2016-04-05 02:25:04.638,2016-04-05 02:25:04.334
2016-04-05 04:06:05.030,3,14,2016-04-05 04:09:10.689,2,0,0,2016-04-05 04:09:13.906,2016-04-05 04:09:13.295
2016-04-05 22:37:31.416,3,14,2016-04-05 22:41:37.431,2,0,0,2016-04-05 22:41:43.132,2016-04-05 22:41:41.585
2016-04-06 08:50:07.843,2,14,2016-04-06 08:53:03.950,2,0,0,2016-04-06 08:53:06.590,2016-04-06 08:53:06.010
2016-04-05 02:17:58.784,1,Q15,2016-04-05 02:20:25.108,6,0,0,2016-04-05 02:20:33.368,2016-04-05 02:20:30.156
2016-04-05 02:21:32.133,2,Q15,2016-04-05 02:23:04.847,6,0,0,2016-04-05 02:23:11.784,2016-04-05 02:23:08.625
2016-04-05 02:23:42.095,3,Q15,2016-04-05 02:25:06.304,6,0,0,2016-04-05 02:25:18.620,2016-04-05 02:25:15.397
2016-04-05 04:06:05.030,3,15,2016-04-05 04:09:16.004,4,3,2016-04-05 04:09:32.589,2016-04-05 04:09:36.141,2016-04-05 04:09:18.119
2016-04-05 22:37:31.416,3,15,2016-04-05 22:41:44.367,6,0,0,2016-04-05 22:41:58.416,2016-04-05 22:41:51.284
2016-04-06 08:50:07.843,2,15,2016-04-06 08:53:08.174,6,0,0,2016-04-06 08:53:20.797,2016-04-06 08:53:17.438
2016-04-05 02:17:58.784,1,Q16,2016-04-05 02:20:35.037,1,0,0,2016-04-05 02:20:38.484,2016-04-05 02:20:38.484
2016-04-05 02:21:32.133,2,Q16,2016-04-05 02:23:13.536,1,0,0,2016-04-05 02:23:19.546,2016-04-05 02:23:19.545
2016-04-05 02:23:42.095,3,Q16,2016-04-05 02:25:20.212,1,0,0,2016-04-05 02:25:23.443,2016-04-05 02:25:23.443
2016-04-05 04:06:05.030,3,16,2016-04-05 04:09:38.076,1,0,0,2016-04-05 04:09:46.617,2016-04-05 04:09:46.616
2016-04-05 22:37:31.416,3,16,2016-04-05 22:41:59.805,1,0,0,2016-04-05 22:42:05.910,2016-04-05 22:42:05.910
2016-04-06 08:50:07.843,2,16,2016-04-06 08:53:22.235,1,0,0,2016-04-06 08:53:24.643,2016-04-06 08:53:24.642
2016-04-05 02:17:58.784,1,Q17,2016-04-05 02:20:40.231,5,0,0,2016-04-05 02:20:45.948,2016-04-05 02:20:42.733
2016-04-05 02:21:32.133,2,Q17,2016-04-05 02:23:21.346,3,0,0,2016-04-05 02:23:25.837,2016-04-05 02:23:24.509
2016-04-05 02:23:42.095,3,Q17,2016-04-05 02:25:25.176,3,0,0,2016-04-05 02:25:29.862,2016-04-05 02:25:28.536
2016-04-05 04:06:05.030,3,17,2016-04-05 04:09:48.378,3,0,0,2016-04-05 04:09:54.674,2016-04-05 04:09:53.206
2016-04-05 22:37:31.416,3,17,2016-04-05 22:42:07.172,3,0,0,2016-04-05 22:42:15.748,2016-04-05 22:42:14.421
2016-04-06 08:50:07.843,2,17,2016-04-06 08:53:26.404,3,0,0,2016-04-06 08:53:30.618,2016-04-06 08:53:29.349
2016-04-05 02:17:58.784,1,Q18,2016-04-05 02:20:48.997,2,0,0,2016-04-05 02:20:52.904,2016-04-05 02:20:52.160
2016-04-05 02:21:32.133,2,Q18,2016-04-05 02:23:27.586,2,0,0,2016-04-05 02:23:30.539,2016-04-05 02:23:29.620
2016-04-05 02:23:42.095,3,Q18,2016-04-05 02:25:31.440,4,0,0,2016-04-05 02:25:35.505,2016-04-05 02:25:33.198
2016-04-05 04:06:05.030,3,18,2016-04-05 04:09:56.331,2,0,0,2016-04-05 04:09:59.189,2016-04-05 04:09:58.560
2016-04-05 22:37:31.416,3,18,2016-04-05 22:42:17.030,2,0,0,2016-04-05 22:42:25.047,2016-04-05 22:42:23.125
2016-04-06 08:50:07.843,2,18,2016-04-06 08:53:32.125,2,0,0,2016-04-06 08:53:34.504,2016-04-06 08:53:33.919
2016-04-05 02:17:58.784,1,Q19,2016-04-05 02:20:54.696,1,0,0,2016-04-05 02:20:56.484,2016-04-05 02:20:56.483
2016-04-05 02:21:32.133,2,Q19,2016-04-05 02:23:32.262,1,0,0,2016-04-05 02:23:34.275,2016-04-05 02:23:34.274
2016-04-05 02:23:42.095,3,Q19,2016-04-05 02:25:37.081,1,0,0,2016-04-05 02:25:38.653,2016-04-05 02:25:38.652
2016-04-05 04:06:05.030,3,19,2016-04-05 04:10:01.083,1,0,0,2016-04-05 04:10:03.596,2016-04-05 04:10:03.595
2016-04-05 22:37:31.416,3,19,2016-04-05 22:42:26.240,1,0,0,2016-04-05 22:42:31.027,2016-04-05 22:42:31.026
2016-04-06 08:50:07.843,2,19,2016-04-06 08:53:36.064,1,0,0,2016-04-06 08:53:37.675,2016-04-06 08:53:37.674
2016-04-05 02:17:58.784,1,Q2,2016-04-05 02:18:10.230,1,0,0,2016-04-05 02:18:15.034,2016-04-05 02:18:15.033
2016-04-05 02:21:32.133,2,Q2,2016-04-05 02:21:44.167,1,0,0,2016-04-05 02:21:45.798,2016-04-05 02:21:45.797
2016-04-05 02:23:42.095,3,Q2,2016-04-05 02:23:55.864,1,0,0,2016-04-05 02:23:57.526,2016-04-05 02:23:57.525
2016-04-05 04:06:05.030,3,2,2016-04-05 04:06:23.986,1,0,0,2016-04-05 04:07:59.164,2016-04-05 04:07:59.164
2016-04-05 06:13:38.966,3,2,2016-04-05 07:43:28.494,1,0,0,2016-04-05 07:43:33.185,2016-04-05 07:43:33.184
2016-04-05 22:37:31.416,3,2,2016-04-05 22:38:46.164,1,0,0,2016-04-05 22:38:50.952,2016-04-05 22:38:50.951
2016-04-06 08:50:07.843,2,2,2016-04-06 08:50:24.466,1,0,0,2016-04-06 08:51:07.784,2016-04-06 08:51:07.778
